start_ip,end_ip,asn,name,domain
15.158.156.0,15.158.163.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.165.0,15.158.182.255,AS16509,"Amazon.com, Inc.",amazon.com
15.158.184.0,15.158.191.255,AS16509,"Amazon.com, Inc.",amazon.com
15.160.0.0,15.161.255.255,AS16509,"Amazon.com, Inc.",amazon.com
15.164.0.0,15.165.255.255,AS16509,"Amazon.com, Inc.",amazon.com
15.168.0.0,15.168.255.255,AS16509,"Amazon.com, Inc.",amazon.com
15.176.0.0,15.176.31.255,AS5073,HP Inc.,hp.com
15.176.32.0,15.176.48.255,AS3360,DXC US Latin America Corporation,dxc.com
15.176.64.0,15.176.79.255,AS22562,DXC US Latin America Corporation,dxc.com
15.176.96.0,15.176.111.255,AS25951,HP Inc.,hp.com
15.176.112.0,15.176.127.255,AS3360,DXC US Latin America Corporation,dxc.com
15.177.0.0,15.177.7.255,AS14618,"Amazon.com, Inc.",amazon.com
15.177.8.0,15.177.63.255,AS16509,"Amazon.com, Inc.",amazon.com
15.177.64.0,15.177.65.255,AS14618,"Amazon.com, Inc.",amazon.com
15.177.66.0,15.177.104.255,AS16509,"Amazon.com, Inc.",amazon.com
